,index,sentiment
0,1,0.9652853012084961
1,2,0.9974424839019775
2,3,0.9993719458580017
3,4,0.9984429478645325
4,5,0.9962449669837952
5,6,0.9984287619590759
6,7,0.010425984859466553
7,8,0.05707889795303345
8,9,0.374897301197052
9,10,0.3739805817604065
10,11,0.09326589107513428
11,12,0.04000842571258545
12,13,0.028449952602386475
13,14,0.012432098388671875
14,15,0.009914398193359375
15,16,0.009993314743041992
16,17,0.01004880666732788
17,18,0.01012963056564331
18,19,0.010089337825775146
19,20,0.010240137577056885
20,21,0.01019221544265747
21,22,0.009989559650421143
22,23,0.010364353656768799
23,24,0.010507583618164062
24,25,0.011055707931518555
25,26,0.011159241199493408
26,27,0.011319756507873535
27,28,0.011446058750152588
28,29,0.011351406574249268
29,30,0.011439263820648193
30,31,0.011501133441925049
31,32,0.01147913932800293
32,33,0.011555850505828857
33,34,0.011519432067871094
34,35,0.011510670185089111
35,36,0.011733710765838623
36,37,0.011523246765136719
37,38,0.011797487735748291
38,39,0.011914372444152832
39,40,0.011811554431915283
40,41,0.01200038194656372
41,42,0.011427640914916992
42,43,0.011919260025024414
43,44,0.013008534908294678
44,45,0.013200700283050537
45,46,0.012894868850708008
46,47,0.0128859281539917
47,48,0.012103796005249023
48,49,0.012261748313903809
49,1,0.9193395972251892
50,2,0.9073089957237244
51,3,0.8800177574157715
52,4,0.811850905418396
53,5,0.9568475484848022
54,6,0.7391999363899231
55,7,0.11667317152023315
56,8,0.05644017457962036
57,9,0.03271174430847168
58,10,0.022505879402160645
59,11,0.013975560665130615
60,12,0.015215754508972168
61,13,0.015924394130706787
62,14,0.01799255609512329
63,15,0.022708594799041748
64,16,0.024754106998443604
65,17,0.0281943678855896
66,18,0.019961655139923096
67,19,0.0318644642829895
68,20,0.029593825340270996
69,21,0.025036215782165527
70,22,0.023180902004241943
71,23,0.02489715814590454
72,24,0.02604728937149048
73,25,0.027025580406188965
74,26,0.027473747730255127
75,27,0.02786719799041748
76,28,0.028751611709594727
77,29,0.029259800910949707
78,30,0.02884507179260254
79,31,0.032218754291534424
80,32,0.030293405055999756
81,33,0.08397501707077026
82,34,0.23752135038375854
83,35,0.059374213218688965
84,36,0.032820045948028564
85,37,0.029023706912994385
86,38,0.02654784917831421
87,39,0.028542757034301758
88,40,0.028483927249908447
89,41,0.028561651706695557
90,42,0.028280794620513916
91,43,0.02684032917022705
92,44,0.026452600955963135
93,45,0.02646505832672119
94,46,0.025284767150878906
95,47,0.024555087089538574
96,48,0.022807061672210693
97,49,0.021887600421905518
98,50,0.02195429801940918
99,51,0.014967799186706543
100,52,0.014562010765075684
101,53,0.0172499418258667
102,54,0.036028504371643066
103,1,0.9708179831504822
104,2,0.9934763312339783
105,3,0.9984999895095825
106,4,0.9972018003463745
107,5,0.9982942938804626
108,6,0.9973486661911011
109,7,0.9978739023208618
110,8,0.9973912239074707
111,9,0.9987683892250061
112,10,0.9964993000030518
113,11,0.9993939399719238
114,12,0.9988101720809937
115,13,0.9992881417274475
116,14,0.9993793964385986
117,15,0.9991173148155212
118,16,0.9990612864494324
119,17,0.999019980430603
120,18,0.9989712238311768
121,19,0.9980161190032959
122,20,0.9976880550384521
123,21,0.9971672892570496
124,22,0.9964162111282349
125,23,0.9962819218635559
126,24,0.9933660626411438
127,25,0.9917894601821899
128,26,0.9943747520446777
129,27,0.9894002079963684
130,28,0.988483726978302
131,29,0.9915890097618103
132,30,0.9866857528686523
133,31,0.9859378933906555
134,32,0.9884992241859436
135,33,0.9894782900810242
136,34,0.9917741417884827
137,35,0.9921092391014099
138,36,0.9895658493041992
139,37,0.9846435785293579
140,38,0.9900859594345093
141,39,0.9910152554512024
142,40,0.9914445281028748
143,41,0.9920593500137329
144,42,0.9921889305114746
145,43,0.9926483035087585
146,44,0.9922897219657898
147,45,0.9927545189857483
148,46,0.9913079142570496
149,47,0.9913148283958435
150,48,0.991692841053009
151,49,0.9914209246635437
152,50,0.9910673499107361
153,51,0.9896906614303589
154,52,0.9893352389335632
155,53,0.9885146021842957
156,54,0.9897604584693909
157,55,0.9917290806770325
158,56,0.9930444359779358
159,57,0.9941429495811462
160,58,0.9938027858734131
161,59,0.9962958693504333
162,60,0.995763897895813
163,61,0.9959712624549866
164,62,0.994550883769989
165,63,0.9940789937973022
166,64,0.9944908618927002
167,65,0.9946953654289246
168,66,0.9953874945640564
169,67,0.9948935508728027
170,68,0.9949555993080139
171,69,0.9951336979866028
172,70,0.9947071671485901
173,71,0.994844913482666
174,72,0.9952061772346497
175,1,0.9987130165100098
176,2,0.9963697195053101
177,3,0.9934988021850586
178,4,0.9943621158599854
179,5,0.0038173794746398926
180,6,0.000250399112701416
181,7,0.00024574995040893555
182,8,0.00047075748443603516
183,9,0.0004929304122924805
184,10,0.0005865097045898438
185,11,0.0005380511283874512
186,12,0.0005586743354797363
187,13,0.0005801916122436523
188,14,0.0008308887481689453
189,15,0.0007778406143188477
190,16,0.0009726285934448242
191,17,0.0012968778610229492
192,18,0.001291513442993164
193,19,0.00046634674072265625
194,20,0.0002804398536682129
195,21,0.0005599856376647949
196,22,0.0017633438110351562
197,23,0.002399742603302002
198,24,0.001629173755645752
199,25,0.0021209716796875
200,26,0.0019919276237487793
201,27,0.0024933218955993652
202,28,0.0020751953125
203,29,0.0021743178367614746
204,30,0.003054201602935791
205,31,0.0022673606872558594
206,32,0.0011295676231384277
207,33,0.0005330443382263184
208,34,0.00048410892486572266
209,35,0.00048601627349853516
210,36,0.0005373358726501465
211,37,0.0006300806999206543
212,38,0.0006036758422851562
213,39,0.0006191730499267578
214,40,0.0005817413330078125
215,41,0.0005788803100585938
216,42,0.0005596280097961426
217,43,0.0005291104316711426
218,44,0.0006646513938903809
219,45,0.0007492899894714355
220,46,0.0008018612861633301
221,47,0.0006901025772094727
222,48,0.0005717873573303223
223,49,0.0006139278411865234
224,50,0.0005696415901184082
225,51,0.0005053281784057617
226,52,0.000538170337677002
227,53,0.0005626082420349121
228,54,0.0005198121070861816
229,55,0.0006331801414489746
230,56,0.0007652044296264648
231,57,0.0011249184608459473
232,58,0.0007509589195251465
233,59,0.0007379651069641113
234,60,0.016045808792114258
235,61,0.09398657083511353
236,62,0.613398015499115
237,63,0.01308673620223999
238,64,0.044011592864990234
239,65,0.004601657390594482
240,66,0.006915688514709473
241,67,0.020673394203186035
242,68,0.7032173275947571
243,69,0.9716076850891113
244,70,0.8939796686172485
245,1,0.9668781757354736
246,2,0.8992365002632141
247,3,0.8372282981872559
248,4,0.9649542570114136
249,5,0.573229968547821
250,6,0.08578920364379883
251,7,0.18756896257400513
252,8,0.05198270082473755
253,9,0.04639744758605957
254,10,0.047653377056121826
255,11,0.03182399272918701
256,12,0.03175705671310425
257,13,0.03524506092071533
258,14,0.02754688262939453
259,15,0.018231987953186035
260,16,0.021112561225891113
261,17,0.019765913486480713
262,18,0.015824973583221436
263,19,0.01716923713684082
264,20,0.01786792278289795
265,21,0.019457340240478516
266,22,0.015793919563293457
267,23,0.01410531997680664
268,24,0.020712733268737793
269,25,0.016627609729766846
270,26,0.03727048635482788
271,27,0.19065916538238525
272,28,0.10804468393325806
273,29,0.252585768699646
274,30,0.3488379120826721
275,31,0.09501063823699951
276,32,0.024011552333831787
277,33,0.03279983997344971
278,34,0.017466485500335693
279,35,0.01184779405593872
280,36,0.014013350009918213
281,37,0.01486438512802124
282,38,0.01274174451828003
283,39,0.01133793592453003
284,40,0.010426104068756104
285,41,0.008644044399261475
286,42,0.007166743278503418
287,43,0.008032262325286865
288,44,0.007328987121582031
289,45,0.0065490007400512695
290,46,0.0063478946685791016
291,47,0.005785048007965088
292,48,0.005322098731994629
293,49,0.009166061878204346
294,50,0.01035851240158081
295,51,0.010022163391113281
296,52,0.009718656539916992
297,53,0.010010242462158203
298,54,0.011032402515411377
299,55,0.011406779289245605
300,56,0.011705398559570312
301,57,0.011612951755523682
302,58,0.011828601360321045
303,59,0.011725187301635742
304,60,0.012037575244903564
305,61,0.012052595615386963
306,62,0.012388885021209717
307,63,0.012278497219085693
308,64,0.012854576110839844
309,65,0.012823998928070068
310,66,0.013569355010986328
311,67,0.013941586017608643
312,68,0.013601064682006836
313,69,0.013478219509124756
314,70,0.013545691967010498
315,71,0.013729989528656006
316,72,0.013890087604522705
317,1,0.9901549816131592
318,2,0.971126139163971
319,3,0.9661787152290344
320,4,0.9273793697357178
321,5,0.9544872045516968
322,6,0.7038379907608032
323,7,0.4358255863189697
324,8,0.14524561166763306
325,9,0.8400880098342896
326,10,0.006504952907562256
327,11,0.0015372037887573242
328,12,0.009457051753997803
329,13,0.00044280290603637695
330,14,0.0003833770751953125
331,15,0.00043851137161254883
332,16,0.00044542551040649414
333,17,0.0004979372024536133
334,18,0.0005425810813903809
335,19,0.0005398392677307129
336,20,0.0005378127098083496
337,21,0.0005462765693664551
338,22,0.0005467534065246582
339,23,0.000545203685760498
340,24,0.0005459189414978027
341,25,0.0005387663841247559
342,26,0.0005034208297729492
343,27,0.0005121231079101562
344,28,0.0004961490631103516
345,29,0.0004898309707641602
346,30,0.0004974603652954102
347,31,0.000498652458190918
348,32,0.0004960298538208008
349,33,0.0005158185958862305
350,34,0.0005416274070739746
351,35,0.0005312561988830566
352,36,0.0005540251731872559
353,37,0.0005735158920288086
354,38,0.0005778074264526367
355,39,0.0005954504013061523
356,40,0.0005995035171508789
357,41,0.0005635619163513184
358,42,0.0005540251731872559
359,43,0.0005307793617248535
360,44,0.0005379319190979004
361,45,0.0005241036415100098
362,46,0.0005317330360412598
363,47,0.0005189776420593262
364,48,0.0005236268043518066
365,49,0.0005110502243041992
366,50,0.0005241036415100098
367,51,0.0005220770835876465
368,52,0.000517725944519043
369,53,0.0005013942718505859
370,54,0.0004876852035522461
371,55,0.00044864416122436523
372,1,0.9972752928733826
373,2,0.9974702596664429
374,3,0.9995180368423462
375,4,0.9994707703590393
376,5,0.9995911717414856
377,6,0.9994927644729614
378,7,0.9977840781211853
379,8,0.7359839081764221
380,9,0.30167657136917114
381,10,0.3690401315689087
382,11,0.23154467344284058
383,12,0.24414533376693726
384,13,0.995733916759491
385,14,0.9962840676307678
386,15,0.9962807297706604
387,16,0.9978801012039185
388,17,0.998462438583374
389,18,0.9982098340988159
390,19,0.995806097984314
391,20,0.9960846900939941
392,21,0.9925523996353149
393,22,0.9892969727516174
394,23,0.990726113319397
395,24,0.9954748749732971
396,25,0.9938271641731262
397,26,0.9956287145614624
398,27,0.9939270615577698
399,28,0.9950181245803833
400,29,0.9937899708747864
401,30,0.9948090314865112
402,31,0.9937477111816406
403,32,0.9943029880523682
404,33,0.9934817552566528
405,34,0.9943927526473999
406,35,0.9934884309768677
407,36,0.9932613968849182
408,37,0.9935179948806763
409,38,0.9855397939682007
410,39,0.9882940053939819
411,40,0.9894174933433533
412,41,0.9832744002342224
413,42,0.9816073179244995
414,43,0.9823932647705078
415,44,0.9685558676719666
416,45,0.9609693288803101
417,46,0.9493246078491211
418,47,0.9117096662521362
419,48,0.874447762966156
420,49,0.8063531517982483
421,50,0.8045818209648132
422,51,0.8410544395446777
423,52,0.7307772636413574
424,53,0.8172507286071777
425,54,0.9070738554000854
426,55,0.9005981683731079
427,56,0.8246569633483887
428,57,0.7641260027885437
429,58,0.6865431070327759
430,59,0.6586196422576904
431,60,0.5782229900360107
432,61,0.9569924473762512
433,62,0.9783853888511658
434,63,0.9798659682273865
435,64,0.9797765612602234
436,65,0.9756194353103638
437,66,0.9989981055259705
438,67,0.9990335702896118
439,68,0.9989795088768005
440,69,0.9991389513015747
441,70,0.9991216063499451
442,71,0.9989909529685974
443,72,0.9991905093193054
444,1,0.9872907996177673
445,2,0.9805357456207275
446,3,0.9851781725883484
447,4,0.9794926047325134
448,5,0.9711157083511353
449,6,0.9557802677154541
450,7,0.9350179433822632
451,8,0.9116984009742737
452,9,0.8010836839675903
453,10,0.6609323024749756
454,11,0.5760661959648132
455,12,0.5373485684394836
456,13,0.5170005559921265
457,14,0.015946567058563232
458,15,0.013417601585388184
459,16,0.014375030994415283
460,17,0.015123486518859863
461,18,0.01550304889678955
462,19,0.015529751777648926
463,20,0.015116512775421143
464,21,0.01483619213104248
465,22,0.017625927925109863
466,23,0.017441511154174805
467,24,0.01681274175643921
468,25,0.015470683574676514
469,26,0.015047609806060791
470,27,0.014312326908111572
471,28,0.013941586017608643
472,29,0.011199712753295898
473,30,0.011709928512573242
474,31,0.013206660747528076
475,32,0.013609528541564941
476,33,0.013458609580993652
477,34,0.013232648372650146
478,35,0.013310432434082031
479,36,0.013235330581665039
480,37,0.012979984283447266
481,38,0.013075590133666992
482,39,0.012972891330718994
483,40,0.01296001672744751
484,41,0.012965142726898193
485,42,0.012674808502197266
486,43,0.013609647750854492
487,1,0.7618883848190308
488,2,0.37806546688079834
489,3,0.04427015781402588
490,4,0.48986583948135376
491,5,0.21997642517089844
492,6,0.24521607160568237
493,7,0.9940863847732544
494,8,0.9988671541213989
495,9,0.9992875456809998
496,10,0.999017596244812
497,11,0.9990118741989136
498,12,0.9986461997032166
499,13,0.9977265000343323
500,14,0.9945259690284729
501,15,0.9967526793479919
502,16,0.9965302348136902
503,17,0.9983963370323181
504,18,0.9981009364128113
505,19,0.9979528188705444
506,20,0.9978618025779724
507,21,0.9981978535652161
508,22,0.9977669715881348
509,23,0.9973286390304565
510,24,0.9974453449249268
511,25,0.9951444268226624
512,26,0.9951416254043579
513,27,0.9952206015586853
514,28,0.9960705041885376
515,29,0.9953006505966187
516,30,0.9950142502784729
517,31,0.9944372177124023
518,32,0.9976164102554321
519,33,0.9966486096382141
520,34,0.9965202808380127
521,35,0.9962286949157715
522,36,0.9949864149093628
523,37,0.9950671195983887
524,38,0.9952630996704102
525,39,0.9965932965278625
526,40,0.9960266351699829
527,41,0.9965601563453674
528,42,0.9962790608406067
529,43,0.9976645708084106
530,44,0.9971628785133362
531,45,0.9972113966941833
532,46,0.9967219233512878
533,47,0.9962712526321411
534,48,0.996212363243103
535,49,0.9961676001548767
