,index,sentiment
0,1,0.9894816875457764
1,2,0.9856066107749939
2,3,0.18822181224822998
3,4,0.06754422187805176
4,5,0.985141396522522
5,6,0.006107211112976074
6,7,0.0012961626052856445
7,8,0.0024997591972351074
8,9,0.000970005989074707
9,10,0.00040906667709350586
10,11,0.0009161233901977539
11,12,0.0013224482536315918
12,13,0.0016117095947265625
13,14,0.003958582878112793
14,15,0.0026102662086486816
15,16,0.01599973440170288
16,17,0.003943085670471191
17,18,0.005279064178466797
18,19,0.9414392709732056
19,20,0.9400832056999207
20,21,0.9919043183326721
21,22,0.9896464943885803
22,23,0.9834288954734802
23,24,0.9806057810783386
24,25,0.972209632396698
25,26,0.9837877750396729
26,27,0.2941211462020874
27,28,0.8853816986083984
28,29,0.8225262761116028
29,30,0.7990949749946594
30,31,0.630243182182312
31,32,0.8845461010932922
32,33,0.7918040156364441
33,34,0.9466373324394226
34,35,0.9596784710884094
35,36,0.970719575881958
36,37,0.9851380586624146
37,38,0.8673344254493713
38,39,0.990695595741272
39,40,0.9912703037261963
40,41,0.9919163584709167
41,42,0.9861284494400024
42,43,0.9834644794464111
43,44,0.9732411503791809
44,45,0.9583731889724731
45,46,0.9380714297294617
46,47,0.9288625717163086
47,48,0.9066700339317322
48,49,0.9803597331047058
49,50,0.9832045435905457
50,51,0.9926211833953857
51,52,0.995166540145874
52,53,0.9897303581237793
53,54,0.9892270565032959
54,55,0.9909080266952515
55,56,0.9904211759567261
56,57,0.991156816482544
57,58,0.9929320812225342
58,59,0.9895596504211426
59,1,0.9937352538108826
60,2,0.9944214224815369
61,3,0.994856595993042
62,4,0.9860857725143433
63,5,0.9987918734550476
64,6,0.9613215327262878
65,7,0.3463233709335327
66,8,0.984990656375885
67,9,0.9708225727081299
68,10,0.9395729899406433
69,11,0.9926007390022278
70,12,0.9929764866828918
71,13,0.9828327298164368
72,14,0.9311522245407104
73,15,0.5701099634170532
74,16,0.21084201335906982
75,17,0.268227756023407
76,18,0.05832314491271973
77,19,0.005821824073791504
78,20,0.5131761431694031
79,21,0.9471975564956665
80,22,0.9385775327682495
81,23,0.9908517003059387
82,24,0.991081178188324
83,25,0.9944894313812256
84,26,0.995924711227417
85,27,0.9960683584213257
86,28,0.9952397346496582
87,29,0.9995478987693787
88,30,0.9996196031570435
89,31,0.9995384216308594
90,32,0.9995666146278381
91,33,0.999645471572876
92,34,0.9995338916778564
93,35,0.9995754361152649
94,36,0.9994568228721619
95,37,0.9994770884513855
96,38,0.999433696269989
97,39,0.9994221925735474
98,40,0.9994377493858337
99,41,0.9993826150894165
100,42,0.9994872808456421
101,43,0.9994500279426575
102,44,0.9994476437568665
103,45,0.9994346499443054
104,46,0.9994595646858215
105,47,0.9994445443153381
106,48,0.9994322657585144
107,49,0.9994698166847229
108,50,0.9995885491371155
109,51,0.9995934367179871
110,52,0.999572217464447
111,53,0.9995002746582031
112,54,0.9993767142295837
113,55,0.9993926286697388
114,56,0.9993133544921875
115,57,0.9991704225540161
116,58,0.999419093132019
117,59,0.9992589354515076
118,1,0.9708179831504822
119,2,0.9934763312339783
120,3,0.9978109002113342
121,4,0.9526908993721008
122,5,0.9790184497833252
123,6,0.013724923133850098
124,7,0.007742106914520264
125,8,0.01700800657272339
126,9,0.0011652112007141113
127,10,0.000583648681640625
128,11,0.0005156993865966797
129,12,0.0003916621208190918
130,13,0.00039833784103393555
131,14,0.00048792362213134766
132,15,0.0005378127098083496
133,16,0.00035858154296875
134,17,0.0008121132850646973
135,18,0.0003725290298461914
136,19,0.0003833770751953125
137,20,0.00047206878662109375
138,21,0.000502467155456543
139,22,0.00046634674072265625
140,23,0.000522911548614502
141,24,0.0005832910537719727
142,25,0.0005819797515869141
143,26,0.0007148385047912598
144,27,0.000693202018737793
145,28,0.0006497502326965332
146,29,0.001031637191772461
147,30,0.001222074031829834
148,31,0.0025210976600646973
149,32,0.001623392105102539
150,33,0.003951370716094971
151,34,0.0019400715827941895
152,35,0.0014209747314453125
153,36,0.001267850399017334
154,37,0.0009788274765014648
155,38,0.0010055899620056152
156,39,0.0010549426078796387
157,40,0.001172482967376709
158,41,0.0011548995971679688
159,42,0.0018170475959777832
160,43,0.005451023578643799
161,44,0.0022041797637939453
162,45,0.002925395965576172
163,46,0.0024842023849487305
164,47,0.0028145909309387207
165,48,0.0036652088165283203
166,49,0.003348052501678467
167,50,0.007409453392028809
168,51,0.002348959445953369
169,52,0.0019006133079528809
170,53,0.001937568187713623
171,54,0.0018736720085144043
172,55,0.0025956034660339355
173,56,0.0023456215858459473
174,57,0.006669580936431885
175,1,0.4349896311759949
176,2,0.25942856073379517
177,3,0.12314945459365845
178,4,0.04057389497756958
179,5,0.032679617404937744
180,6,0.0604170560836792
181,7,0.7812429070472717
182,8,0.9696810245513916
183,9,0.8080002069473267
184,10,0.029160916805267334
185,11,0.001691579818725586
186,12,0.0013077855110168457
187,13,0.0021061301231384277
188,14,0.004481971263885498
189,15,0.9864646196365356
190,16,0.9912545084953308
191,17,0.9933969974517822
192,18,0.9917699098587036
193,19,0.9935988187789917
194,20,0.9657960534095764
195,21,0.982772171497345
196,22,0.9662736654281616
197,23,0.23641997575759888
198,24,0.662846028804779
199,25,0.7202431559562683
200,26,0.6334025859832764
201,27,0.35551440715789795
202,28,0.341743528842926
203,29,0.29935020208358765
204,30,0.13749361038208008
205,31,0.37162095308303833
206,32,0.14573979377746582
207,33,0.11338245868682861
208,34,0.059648871421813965
209,35,0.8270713090896606
210,36,0.6869490742683411
211,37,0.9806391596794128
212,38,0.9780287146568298
213,39,0.9847619533538818
214,40,0.9807345271110535
215,41,0.9860721230506897
216,42,0.9921103119850159
217,43,0.9897270798683167
218,44,0.9904628396034241
219,45,0.9917789101600647
220,46,0.994247555732727
221,47,0.9956995248794556
222,48,0.9986742734909058
223,49,0.9976605176925659
224,50,0.995901882648468
225,51,0.9945397973060608
226,52,0.9452300667762756
227,53,0.020204544067382812
228,54,0.057795703411102295
229,55,0.1496712565422058
230,56,0.08190542459487915
231,57,0.6662570238113403
232,58,0.9003548622131348
233,59,0.6642136573791504
234,60,0.8542711734771729
235,61,0.06867432594299316
236,62,0.09515947103500366
237,63,0.20982080698013306
238,64,0.21938198804855347
239,65,0.26687997579574585
240,66,0.09366452693939209
241,67,0.03952139616012573
242,68,0.023099005222320557
243,1,0.6722641587257385
244,2,0.7278448343276978
245,3,0.4763566255569458
246,4,0.3465791940689087
247,5,0.002315998077392578
248,6,0.9964196681976318
249,7,0.9981922507286072
250,8,0.9973415732383728
251,9,0.9980586171150208
252,10,0.9977772831916809
253,11,0.9780473113059998
254,12,0.9713099002838135
255,13,0.9464296102523804
256,14,0.9495967030525208
257,15,0.8943431377410889
258,16,0.2516595125198364
259,17,0.16220790147781372
260,18,0.9156621694564819
261,19,0.7260196805000305
262,20,0.9369020462036133
263,21,0.9851223230361938
264,22,0.9879770874977112
265,23,0.9908707737922668
266,24,0.9880549311637878
267,25,0.9849230051040649
268,26,0.9908192753791809
269,27,0.9918545484542847
270,28,0.990632176399231
271,29,0.9897961020469666
272,30,0.9287084937095642
273,31,0.993408203125
274,32,0.9940783977508545
275,33,0.9927514791488647
276,34,0.990260660648346
277,35,0.9930064678192139
278,36,0.993496298789978
279,37,0.9957721829414368
280,38,0.9942377805709839
281,39,0.9976703524589539
282,40,0.9976510405540466
283,41,0.9983002543449402
